"","STORE","LONG","LAT","ZIP.CODE","CITY","ALLAN","BLISS","BREATHSAVERS","BROOKSIDE","BUBBLE.YUM","CADBURY","CANE.STK","CANISTER","GOOD.N.PLENTY","HEATH","HERSHEY.ARTISAN","HERSHEY.CHOC.ASST","HERSHEY.CHOC.REM","HERSHEY.GUM.REM","HERSHEY.NCHOC.REM","HERSHEY.SUGAREE.BFY","ICE.BREAKERS","JOLLY.RANCHER","KISSES","KIT.KAT","LANCASTER","LORENA","ALMOND.JOY","PAYDAY","PELON","POT.OF.GOLD","REESE","ROLO","SL.HARD.ROLL","SNACK.BITES","TAKE5","TOTAL"
"11","Family Dollar",-71.121683,42.395337,2144,"Boston",0,0,6,166,67,63,0,0,126,64,0,334,275,0,237,0,363,859,896,2267,61,0,772,211,0,0,3078,115,4,0,0,9964
"12","Family Dollar",-71.123448,42.255632,2136,"Boston",0,0,215,105,70,736,0,0,67,50,0,216,413,0,373,0,1593,2156,1213,3660,70,0,1439,483,0,0,3365,184,6,0,223,16637
"13","Family Dollar",-71.002561,42.248778,2169,"Boston",0,0,96,87,45,446,0,0,123,145,0,496,182,0,310,0,1009,1356,1161,2299,130,0,761,189,0,0,3734,197,24,0,18,12808
"14","Family Dollar",-71.156099,42.28511,2132,"Boston",0,0,56,77,39,294,0,0,213,40,0,513,84,0,539,0,590,734,687,2157,92,0,584,133,0,0,2410,170,3,0,0,9415
"15","Family Dollar",-71.055566,42.407579,2149,"Boston",0,0,225,84,130,676,0,0,127,56,0,388,210,0,329,0,2861,1226,1576,3948,70,0,882,211,0,0,3067,107,0,0,16,16189
"16","Family Dollar",-71.030634,42.394508,2150,"Boston",0,0,166,42,84,412,0,0,33,81,0,126,190,0,108,0,3717,1168,1404,3340,91,0,798,192,0,0,2834,127,58,0,28,14999
"17","Family Dollar",-71.089867,42.290391,2124,"Boston",0,0,124,247,72,732,0,0,56,111,0,388,527,0,451,0,2343,3647,2282,7253,127,0,1324,784,0,0,6736,415,0,0,135,27754
"18","Family Dollar",-71.094176,42.372704,2141,"Boston",0,0,93,207,57,847,0,0,230,145,0,300,276,0,368,0,1149,2231,1607,3771,97,0,1086,210,0,0,4879,321,14,0,48,17936
"19","Family Dollar",-71.062145,42.299121,2122,"Boston",0,0,292,116,130,644,0,0,129,200,0,1838,258,0,1831,0,2554,2023,2318,4478,49,0,1720,800,0,0,5336,217,18,0,60,25011
"20","Family Dollar",-71.129784,42.286482,2131,"Boston",0,0,40,141,104,164,0,0,101,47,0,1168,305,0,571,0,760,1940,1729,3700,77,0,859,211,0,0,4012,202,0,0,0,16131
"21","Family Dollar",-71.057433,42.313283,2125,"Boston",0,0,99,160,61,649,0,0,91,225,0,433,349,0,300,0,1530,2000,1190,3989,108,0,1305,486,0,0,4589,235,18,0,163,17980
"22","Hannaford",-71.02353,42.270397,2171,"Boston",0,192,1242,2058,0,5087,120,0,339,483,13,2848,439,0,252,395,4788,642,6840,7202,920,0,2352,496,0,0,15115,2051,0,51,0,53925
"23","Market Basket",-71.101597,42.38073,2143,"Boston",0,720,584,4500,0,15803,0,0,1096,0,0,4835,1244,0,0,1264,11260,688,13550,24247,502,0,6417,0,0,780,27176,4002,0,0,0,118668
"24","Market Basket",-71.042246,42.394142,2150,"Boston",0,738,939,4036,0,18957,0,0,1215,0,0,7606,1462,0,0,1989,25745,1443,20333,38545,702,0,11824,83,0,1370,45523,8370,0,0,0,190880
"25","Rite Aid",-71.119263,42.359858,2114,"Boston",0,461,405,1029,131,3638,0,0,365,255,0,2523,729,0,163,298,2964,1318,2868,3399,140,0,920,525,0,287,8134,582,62,15,171,31382
"26","Rite Aid",-71.056528,42.313169,2125,"Boston",0,179,488,1695,114,3591,0,0,227,152,0,2240,628,0,323,80,3955,1731,3348,5607,192,0,1159,338,0,719,9582,396,45,18,154,36961
"27","Rite Aid",-71.074416,42.270694,2126,"Boston",0,132,282,662,176,2321,0,0,129,203,0,1901,454,0,269,98,2447,1593,1832,3265,139,0,1088,632,0,322,5322,287,12,15,88,23669
"28","Rite Aid",-71.036511,42.336171,2127,"Boston",0,209,320,2020,90,9552,0,0,555,378,0,4615,1407,0,575,360,4849,1871,6501,4772,239,0,946,350,0,965,17209,958,38,7,185,58971
"29","Rite Aid",-71.007522,42.386191,2128,"Boston",0,23,126,182,13,787,0,0,46,13,0,270,105,0,45,0,495,192,397,1196,17,0,480,106,0,120,1914,50,16,9,54,6656
"30","Rite Aid",-71.125634,42.253506,2136,"Boston",0,33,75,500,30,1453,0,0,113,112,0,1000,316,0,145,150,1077,846,1312,1908,106,0,545,274,0,356,3265,176,11,0,63,13866
"31","Rite Aid",-71.119825,42.384565,2138,"Boston",0,111,211,706,76,3127,0,0,185,223,0,1611,383,0,121,4,1479,587,1589,2295,63,0,525,246,0,124,4863,188,20,3,90,18830
"32","Rite Aid",-71.113832,42.361641,2139,"Boston",0,181,159,2730,57,3191,0,0,377,250,0,2605,732,0,243,231,2450,1615,3110,4338,197,0,909,315,0,267,8938,505,17,0,152,33569
"33","Rite Aid",-71.085004,42.374349,2143,"Boston",0,90,166,763,56,3110,0,0,152,153,0,1660,316,0,157,128,1889,690,2220,2361,114,0,548,171,0,301,4682,234,23,4,126,20114
"34","Rite Aid",-71.106955,42.382684,2143,"Boston",0,179,271,882,96,2573,0,0,203,125,0,1409,383,0,159,101,1975,986,2084,2345,103,0,519,213,0,495,6058,308,96,0,238,21801
"35","Rite Aid",-71.119874,42.395813,2144,"Boston",0,95,311,799,55,2588,0,0,202,177,0,1338,386,0,141,60,1353,483,1397,1991,47,0,640,178,0,170,4617,315,10,0,127,17480
"36","Rite Aid",-71.092558,42.393026,2145,"Boston",0,166,198,939,72,3168,0,0,134,131,0,1428,810,0,109,84,2461,1294,2082,4000,79,0,992,365,0,624,6492,300,17,12,55,26012
"37","Rite Aid",-71.055622,42.405833,2149,"Boston",0,253,312,1415,100,4500,0,0,361,183,0,2588,802,0,258,182,2169,1520,3578,6219,197,0,1446,546,0,988,10811,364,23,0,211,39026
"38","Rite Aid",-71.005628,42.244857,2169,"Boston",0,151,208,947,38,5280,0,0,376,242,0,2386,684,0,278,120,3307,1452,4112,4673,230,0,1349,465,0,716,11946,764,47,11,198,39980
"39","Rite Aid",-71.02353,42.270397,2171,"Boston",0,121,75,479,7,1688,0,0,103,119,0,998,423,0,135,64,963,387,1730,2214,64,0,471,181,0,622,3285,354,10,4,60,14557
"40","Shaws Supermarket",-71.079437,42.347839,2199,"Boston",0,1482,2033,10712,111,14501,147,0,1041,1526,0,16548,1444,0,1114,0,12836,3140,22932,18547,283,0,2899,1853,0,231,39242,4452,0,33,77,157184
"41","Shaws Supermarket",-71.06971,42.27189,2126,"Boston",0,185,409,1286,152,4622,138,0,218,699,0,3880,587,0,812,0,4770,1852,3250,7904,103,0,2706,1314,0,90,10398,1693,0,26,56,47150
"42","Shaws Supermarket",-71.040477,42.376667,2128,"Boston",0,259,207,1915,0,4633,94,0,240,675,0,2953,293,0,125,0,5886,1197,5298,10344,143,0,2932,1093,0,88,15280,1570,0,0,0,55225
"43","Shaws Supermarket",-71.100439,42.343541,2215,"Boston",0,0,717,8664,0,12768,113,0,489,751,0,6180,144,0,629,0,1951,1840,7860,13541,1132,0,3332,848,0,119,22013,3134,0,0,105,86330
"44","Shaws Supermarket",-71.126087,42.251801,2136,"Boston",0,75,188,832,127,3089,120,0,177,472,0,3348,275,0,460,0,4588,941,3308,6076,102,0,2051,1115,0,45,9296,1426,0,17,70,38198
"45","Shaws Supermarket",-71.208945,42.350556,2460,"Boston",0,0,272,975,0,6216,115,0,38,559,0,5473,82,0,1000,0,3280,603,5557,7148,128,0,1907,850,0,86,11192,1529,0,12,104,47126
"46","Shaws Supermarket",-71.179459,42.26822,2132,"Boston",0,474,402,2323,130,6909,83,0,707,1222,0,6348,490,0,380,0,5086,2355,7810,9243,178,0,2746,1240,0,116,17241,2912,0,30,96,68521
"47","Shaws Supermarket",-71.050705,42.318419,2125,"Boston",0,609,649,6022,156,9234,178,0,575,1093,0,9412,680,0,727,0,9957,2999,8175,12627,546,0,2151,1571,16,167,21760,2824,0,40,222,92390
"48","Star Market",-71.11795,42.389979,2140,"Boston",0,0,708,6751,175,15305,138,0,310,1044,0,9729,574,0,700,0,8565,1475,11103,14002,1034,0,3695,1606,0,70,29457,3988,0,22,103,110554
"49","Star Market",-71.681411,42.409775,2467,"Boston",0,474,582,10747,0,8824,174,0,785,619,0,11249,524,0,946,0,5351,1532,12825,12859,380,0,2404,586,0,196,17645,1283,0,0,237,90222
"50","Star Market",-71.14882,42.37512,2138,"Boston",0,599,590,2990,138,12047,57,0,1075,1532,0,10451,602,0,1062,0,8087,1325,10470,11188,446,0,3168,1769,0,80,23521,2978,0,0,108,94283
"51","Star Market",-71.00509,42.244759,2169,"Boston",0,414,453,2179,159,7372,119,0,671,1182,3,5747,419,0,477,0,5929,1752,8544,10109,648,0,2237,1094,0,144,20617,3099,0,24,0,73392
"52","Star Market",-71.111771,42.383583,2143,"Boston",0,0,362,1159,20,4485,43,0,16,329,0,4972,200,0,366,0,2369,502,2582,3454,123,0,1366,507,0,0,9260,943,0,0,210,33268
"53","Star Market",-71.191132,42.388492,2478,"Boston",0,654,614,3676,87,12433,62,0,642,1183,0,9181,570,0,991,0,7522,2614,10706,11719,521,0,3251,1217,0,110,21987,2833,0,10,275,92858
"54","Star Market",-71.139494,42.338155,2445,"Boston",0,0,0,2643,0,5582,0,0,361,760,0,2316,59,0,367,0,3996,119,3947,5778,196,0,1033,541,0,0,9688,1303,0,0,63,38752
"55","Star Market",-71.085004,42.374349,2143,"Boston",0,878,902,4097,113,8410,107,0,418,1180,0,8600,417,0,400,0,8536,1857,8212,11591,366,0,2988,1990,0,273,21546,3240,0,18,214,86353
"56","Star Market",-71.123551,42.352706,2215,"Boston",0,973,436,11629,70,9059,137,0,495,922,0,9552,753,0,592,0,8927,2632,11090,13521,475,0,2343,1043,0,158,24442,2344,0,0,96,101689
"57","Star Market",-71.244787,42.346965,2466,"Boston",0,0,586,1536,0,5986,151,0,57,951,0,12007,167,0,587,0,4010,851,7466,6943,518,0,1984,661,0,115,16315,2129,0,29,146,63195
"58","Star Market",-71.137579,42.36091,2135,"Boston",0,489,359,1362,167,8559,96,0,260,887,0,7192,445,0,697,0,6367,2410,7079,9219,181,0,2785,1431,0,123,19847,2443,0,24,178,72600
"59","Star Market",-71.099988,42.362012,2139,"Boston",0,753,183,4580,64,7528,99,0,280,834,0,6128,313,0,288,0,3904,939,7896,9371,379,0,2926,532,0,109,17157,1598,0,0,80,65941
"60","Stop & Shop",-71.120375,42.338207,2446,"Boston",0,60,535,3898,0,5617,60,0,203,529,0,1638,338,0,204,0,550,960,7282,7758,197,0,1011,152,0,28,12246,1577,0,0,0,44843
"61","Stop & Shop",-71.114273,42.275782,2131,"Boston",0,69,282,2453,0,3654,60,0,142,495,0,2175,177,0,166,0,662,1649,4174,8727,148,0,1119,104,0,33,11284,1352,0,25,0,38950
"62","Stop & Shop",-71.049044,42.292667,2122,"Boston",0,37,436,7181,0,10987,60,0,336,919,0,3560,350,0,177,296,1179,1569,11005,15319,381,0,2021,288,0,69,24995,2463,0,18,0,83646
"63","Stop & Shop",-71.127277,42.242397,2136,"Boston",0,27,704,5499,0,7371,60,0,318,719,0,2637,300,0,177,0,1080,1654,6948,8619,283,0,980,229,0,33,13788,2128,0,131,0,53685
"64","Stop & Shop",-71.132256,42.406742,2144,"Boston",0,0,23,4370,0,7402,106,0,192,521,0,1504,480,0,229,399,639,696,6926,9563,104,0,1144,251,0,75,19558,2154,0,0,0,56336
"65","Target Store",-71.072325,42.398766,2149,"Boston",0,119,2406,9334,1542,16383,467,0,457,243,0,24541,549,0,2286,121,31456,6113,28377,23534,810,0,3256,269,50,1326,48459,3809,0,330,630,206867
"66","Target Store",-71.090432,42.37643,2143,"Boston",0,99,2252,8775,955,11871,271,0,438,196,0,17383,866,0,1747,178,18831,4512,20019,18536,587,0,2582,139,46,709,33528,2129,0,167,686,147502
"67","Target Store",-71.158276,42.363893,2472,"Boston",0,135,4862,22087,4951,25041,477,0,910,654,0,46748,1742,0,3671,381,41772,9434,42963,36985,879,0,6398,872,0,2166,73338,5850,0,423,2389,335128
"68","Target Store",-71.063051,42.329309,2125,"Boston",0,108,3019,14961,3395,11494,490,0,537,1102,0,27296,1120,0,3353,221,40353,9228,30129,32401,979,0,5737,832,59,940,45361,4053,0,106,821,238095
"69","Walgreens",-71.044686,42.283969,2122,"Boston",0,183,237,718,0,4354,41,0,409,319,0,3499,919,0,636,462,4036,1820,3980,5941,148,0,1943,978,0,71,13286,839,0,135,248,45202
"70","Walgreens",-71.193342,42.331163,2459,"Boston",0,112,447,904,0,3263,46,0,540,435,0,2326,422,0,619,977,3342,1150,2850,4121,89,0,757,255,0,152,7148,518,0,7,144,30624
"71","Walgreens",-71.207675,42.331336,2461,"Boston",0,208,632,1027,0,4286,43,0,631,360,0,3113,451,0,856,1096,4963,1334,3753,3676,97,0,652,552,0,50,8201,656,0,5,190,36832
"72","Walgreens",-71.027783,42.253598,2169,"Boston",0,192,643,941,0,4902,64,0,690,513,0,2764,1268,0,1321,627,4499,1304,4882,5715,203,0,1226,438,0,136,11758,1272,0,39,252,45649
"73","Walgreens",-71.094365,42.393633,2145,"Boston",0,102,323,522,0,2649,47,0,138,184,0,1804,544,0,281,343,2068,1233,2385,3728,93,0,919,221,0,72,7487,437,0,55,191,25826
"74","Walgreens",-71.082786,42.348908,2116,"Boston",0,0,1187,2051,0,3265,71,0,450,499,0,3652,1335,0,98,987,9379,2254,4042,6905,147,0,1107,566,0,227,15883,746,0,90,415,55356
"75","Walgreens",-71.10256,42.374749,2143,"Boston",0,124,373,860,0,3568,40,0,530,278,0,2542,884,0,506,429,2006,726,3011,4355,60,0,682,408,0,31,8531,377,0,52,294,30667
"76","Walgreens",-72.264443,42.181207,2119,"Boston",0,31,342,1092,0,2502,64,0,287,160,0,1864,779,0,778,342,3378,2788,2619,7909,105,0,2018,1316,0,0,10929,259,0,122,253,39937
"77","Walgreens",-71.087787,42.281542,2126,"Boston",0,14,179,954,0,3001,35,0,139,53,0,1590,383,0,715,220,2011,2016,2044,7551,140,0,2645,1107,0,0,10469,127,0,159,231,35783
"78","Walgreens",-71.046614,42.415118,2149,"Boston",0,293,450,1230,0,3570,45,0,421,177,0,2757,1138,0,871,689,4433,3107,6132,9619,275,0,1241,626,8,301,16308,719,0,171,350,54931
"79","Walgreens",-71.120524,42.336329,2446,"Boston",0,183,719,1309,0,4697,63,0,744,438,0,3252,921,0,375,718,5475,1602,5200,5547,157,0,880,536,0,144,11259,522,0,53,341,45135
"80","Walgreens",-71.019447,42.402936,2150,"Boston",0,63,390,415,0,2231,48,0,297,162,0,2111,911,0,579,420,4910,1227,4993,6761,216,0,1154,544,4,17,10457,382,0,140,210,38642
"81","Walgreens",-71.097353,42.31739,2119,"Boston",0,14,400,611,0,2288,35,0,186,194,0,1698,1126,0,315,470,2738,2119,3580,8737,64,0,2166,888,4,45,12553,365,0,124,269,40989
"82","Walgreens",-70.983102,42.239028,2169,"Boston",0,419,396,812,0,4874,67,0,638,367,0,2659,963,0,447,752,3360,1489,5471,5609,398,0,1622,593,0,90,14120,1099,0,63,382,46690
"83","Walgreens",-71.158364,42.281965,2132,"Boston",0,211,410,678,0,4639,60,0,701,258,0,2333,668,0,735,645,3035,1098,4398,4716,221,0,1048,718,0,68,9113,985,0,83,272,37093
"84","Walgreens",-71.038623,42.374364,2128,"Boston",0,126,446,928,0,2802,40,0,186,161,0,2513,915,0,568,598,8265,2527,7650,8842,200,0,1761,431,0,0,10616,322,0,173,25,50095
"85","Walgreens",-71.075057,42.338291,2118,"Boston",0,114,370,1023,0,1852,50,0,328,187,0,2184,431,0,331,476,1573,1323,3003,3952,48,0,1359,470,0,0,7759,282,0,16,145,27276
"86","Walgreens",-71.072012,42.2911,2124,"Boston",0,0,222,523,0,2153,62,0,123,26,0,1406,388,0,100,260,1664,1198,1482,4066,44,0,1481,704,0,87,5905,115,0,111,144,22264
"87","Walgreens",-71.103139,42.365722,2139,"Boston",0,112,551,2435,0,3798,56,0,438,273,0,2822,750,0,146,572,3909,1121,3825,6624,163,0,1091,1173,0,105,10426,309,0,0,233,40932
"88","Walgreens",-71.071285,42.303938,2122,"Boston",0,39,223,559,0,2231,59,0,144,193,0,1206,547,0,305,256,2247,2101,1935,5844,67,0,1078,453,2,1,7431,200,0,100,228,27449
"89","Walgreens",-71.077692,42.340723,2120,"Boston",0,127,516,1022,0,2794,59,0,378,113,0,2324,625,0,373,372,3793,1860,3073,4999,164,0,1290,630,0,202,8925,202,0,67,205,34113
"90","Walgreens",-71.083933,42.330716,2119,"Boston",0,37,381,668,0,2536,57,0,348,290,0,1948,946,0,606,432,2256,1748,2713,7292,119,0,1796,1363,0,31,13051,311,0,125,363,39417
"91","Walgreens",-71.126857,42.241435,2136,"Boston",0,195,280,732,0,3473,52,0,407,339,0,2552,620,0,738,542,2088,1843,3482,4592,136,0,888,413,0,35,9271,681,0,92,178,33629
"92","Walgreens",-71.091359,42.339006,2134,"Boston",0,151,128,631,0,2128,33,0,138,144,0,1283,393,0,210,284,1868,727,1569,3237,87,0,740,376,0,13,5838,269,0,17,164,20428
"93","Walgreens",-71.027246,42.275965,2171,"Boston",0,254,469,1061,0,4104,64,0,433,440,0,2225,621,0,459,609,3638,1380,3633,5308,166,0,1078,607,0,121,9767,459,0,50,384,37330
"94","Walgreens",-71.189679,42.35635,2458,"Boston",0,114,572,1252,0,3089,35,0,281,159,0,2299,507,0,354,966,3761,1573,3295,3528,103,0,527,361,0,91,7506,607,0,36,175,31191
"95","Walgreens",-71.114849,42.274817,2131,"Boston",0,116,752,401,0,2486,48,0,203,189,0,1497,571,0,564,370,1701,1246,2858,4286,105,0,941,809,0,56,6380,245,0,30,122,25976
"96","Walgreens",-71.097123,42.313036,2108,"Boston",0,331,1216,4772,0,4985,64,0,1153,984,0,3372,2162,0,358,1139,8901,2242,6492,10008,499,0,1830,1114,0,250,21881,526,0,79,776,75134
"97","Walgreens",-71.062325,42.352571,2111,"Boston",0,0,284,1849,0,1945,0,0,490,231,0,1477,780,0,230,406,2876,1090,1419,3655,109,0,570,339,0,99,6530,277,0,259,203,25118
"98","Wegmans Food Market",-71.681872,42.416184,2467,"Boston",0,0,3758,3238,0,10114,0,0,0,543,2427,15399,0,0,1987,535,20571,759,15334,11724,0,0,205,0,0,0,25037,2916,0,0,707,115254
"99","BJs Wholesale Club",-77.132591,38.812995,22304,"Washington",0,0,0,23728,0,2192,0,0,0,0,0,41070,0,0,0,0,3820,6207,14572,21937,1397,0,0,3070,0,0,22153,0,0,0,0,140146
"100","Bethesda Mini Mart",-77.090432,39.00209,20889,"Washington",0,0,0,0,0,175,0,0,0,0,0,0,124,0,0,0,72,0,0,326,0,0,81,68,0,0,776,0,0,0,0,1622
"101","Big Kmart",-77.076139,39.085902,20906,"Washington",0,105,241,535,13,1571,300,0,288,145,0,4577,404,0,744,424,862,2718,4875,4568,192,0,1010,695,0,238,6437,862,0,0,0,31804
"102","Dollar General",-76.890974,38.843767,20747,"Washington",0,0,56,105,124,94,0,0,127,174,0,424,302,0,314,0,512,1605,748,3077,29,0,910,557,0,0,6255,181,71,0,71,15736
"103","Family Dollar",-76.942657,38.829836,20748,"Washington",0,0,337,228,81,25,0,0,86,253,0,364,288,0,405,0,883,3120,866,2922,126,0,1299,870,0,0,4624,90,0,0,33,16900
"104","Family Dollar",-76.952025,38.803973,20748,"Washington",0,0,56,182,50,27,0,0,78,85,0,60,526,0,175,0,652,3089,664,2803,83,0,863,627,0,0,4915,61,0,0,5,15001
"105","Family Dollar",-77.125013,38.72075,22309,"Washington",0,20,32,166,9,7,0,0,37,41,0,50,165,0,110,0,569,1171,550,1690,72,0,483,144,0,0,1983,51,3,0,25,7378
"106","Family Dollar",-76.926605,38.794096,20748,"Washington",0,0,43,263,129,102,0,0,179,144,0,461,432,0,310,0,538,3204,1174,3552,85,0,1193,1160,0,0,5572,102,0,0,6,18649
"107","Family Dollar",-76.90681,38.856791,20747,"Washington",0,0,49,191,56,104,0,0,127,143,0,335,414,0,501,0,496,3095,799,3019,59,0,1492,887,0,0,6136,66,3,0,6,17978
"108","Family Dollar",-76.945189,39.082239,20904,"Washington",0,0,77,103,70,19,0,0,35,63,0,80,142,0,140,0,458,2302,951,2867,99,0,904,372,0,0,2432,79,0,0,0,11193
"109","Family Dollar",-76.892826,38.851575,20747,"Washington",0,0,211,186,74,132,0,0,84,115,0,335,328,0,375,0,1065,2879,658,2634,59,0,901,801,0,0,4735,79,0,0,0,15651
"110","Family Dollar",-76.960027,38.833778,20748,"Washington",0,0,122,320,110,282,0,0,208,457,0,586,948,0,280,0,1497,5765,1331,5228,132,0,1493,1319,0,0,8778,253,0,0,30,29139
"111","Giant Food Store",-76.926414,38.792246,20748,"Washington",0,16,502,4450,0,1123,58,0,964,893,0,1727,328,0,222,218,1179,1407,3924,7533,460,0,2486,132,0,0,12660,798,0,32,4,41116
"112","Giant Food Store",-77.127699,39.025909,20814,"Washington",0,273,823,8801,0,9602,58,0,643,2056,0,8349,1323,0,1246,0,1920,2658,19972,18455,815,0,2352,209,0,33,30588,3090,0,89,115,113470
"113","Giant Food Store",-77.074969,39.101721,20906,"Washington",0,237,2954,8098,0,6410,62,0,1465,1818,0,3140,436,0,174,1325,1333,1483,15680,9707,1053,0,2125,604,0,81,17513,2126,0,66,0,77890
"114","Giant Food Store",-76.980271,39.004173,20904,"Washington",0,138,473,4883,0,5197,58,0,468,785,0,2828,377,0,314,0,580,1574,12528,8513,606,0,1988,206,0,50,16849,1755,0,32,95,60297
"115","Giant Food Store",-77.135561,38.772143,22315,"Washington",0,184,770,9160,0,6903,62,0,622,988,0,3472,594,0,627,530,1145,1934,13005,10559,1115,0,1424,155,0,82,22392,2050,0,56,0,77829
"116","Giant Food Store",-77.131726,38.806991,22304,"Washington",0,48,342,3238,0,2271,39,0,270,521,0,1246,347,0,154,0,1755,560,3464,6325,192,0,997,86,0,0,8277,708,0,4,0,30844
"117","Giant Food Store",-77.084192,38.809007,22314,"Washington",0,154,749,8613,0,8094,63,0,798,1331,0,4427,449,0,63,153,989,1967,13442,11410,921,0,2612,453,0,33,24791,2046,0,49,107,83714
"118","Giant Food Store",-77.099007,38.981218,20814,"Washington",0,201,1584,10084,0,10042,101,0,1220,1510,0,11797,566,0,877,1718,3328,1838,19159,14853,627,0,3188,497,0,22,26158,2338,0,42,292,112042
"119","Giant Food Store",-77.058826,39.037732,20902,"Washington",0,148,1037,7404,0,7688,60,0,565,1012,0,6484,317,0,727,704,1151,2325,13006,12685,826,0,1770,690,0,33,18729,1785,0,50,84,79280
"120","Giant Food Store",-76.944408,38.832418,20748,"Washington",0,4,1815,4083,0,1164,57,0,161,1104,0,1433,289,0,246,0,1151,1389,3883,7363,365,0,2056,154,0,33,12392,923,0,109,0,40174
"121","Giant Food Store",-76.988785,39.041057,20904,"Washington",0,63,782,5883,0,5356,56,0,378,1125,0,3844,330,0,268,315,1484,2456,9704,12438,719,0,2257,500,0,0,16543,1551,0,49,0,66101
"122","Giant Food Store",-77.031663,38.992333,20910,"Washington",0,120,1097,8758,0,10213,60,0,558,1211,0,6981,561,0,504,243,1705,2223,14458,12857,642,0,2470,664,0,81,24375,2700,0,4,191,92676
"123","Giant Food Store",-77.107501,38.963895,20816,"Washington",0,167,2095,11519,0,11741,55,0,985,1796,0,11701,711,0,916,530,734,3364,23255,19889,713,0,3310,279,0,0,30795,2962,0,32,233,127782
"124","Giant Food Store",-77.002493,38.999532,20901,"Washington",0,99,847,4542,0,5511,122,0,437,838,0,4903,663,0,544,231,2160,2865,10143,10623,362,0,1856,117,0,0,14669,908,0,24,85,62549
"125","Giant Food Store",-76.912799,38.854058,20747,"Washington",0,10,446,4738,0,1981,60,0,162,1267,0,3824,201,0,228,159,1535,1727,5534,8919,507,0,2778,404,0,26,16004,1143,0,80,69,51802
"126","Giant Food Store",-77.102979,38.885654,22201,"Washington",0,74,784,8768,0,6445,120,0,667,1261,0,6362,522,0,563,0,1356,1714,11726,7916,758,0,1579,533,0,0,21686,1361,0,25,103,74323
"127","Giant Food Store",-77.068821,38.845789,22206,"Washington",0,159,865,6383,0,4351,61,0,272,527,0,2399,478,0,174,354,1033,1276,7359,10253,536,0,1491,101,0,0,16672,1668,0,24,0,56436
"128","Giant Food Store",-77.083808,38.771015,22306,"Washington",0,228,628,7973,0,3225,59,0,564,984,0,3555,339,0,215,0,1600,1435,10508,8607,648,0,1885,227,0,60,19171,1431,0,54,104,63500
"129","Giant Food Store",-77.095977,38.896793,22201,"Washington",0,34,137,1641,0,3453,60,0,190,0,0,1237,193,0,168,0,345,401,4691,4337,0,0,576,141,0,23,7833,784,0,0,0,26244
"130","Giant Food Store",-77.084677,38.863863,22204,"Washington",0,91,463,6378,0,5251,60,0,246,636,0,4835,382,0,190,285,1846,1391,9716,9276,416,0,1530,204,0,25,17689,1363,0,53,209,62535
